Source,Target,Weight,Type
43207,46675-0,3,undirected
James, Henry_Nona Vincent,James, Henry_Madame De Mauves,3,undirected
James, Henry_Nona Vincent,James, Henry_The Author of Beltraffio,1,undirected
James, Henry_Nona Vincent,James, Henry_The Beast in the Jungle,2,undirected
James, Henry_Nona Vincent,James, Henry_The Tragic Muse,3,undirected
James, Henry_The American,883-0,3,undirected
James, Henry_The American,Dickens, Charles_Bleak House,1,undirected
James, Henry_The American,James, Henry_Four Meetings,2,undirected
James, Henry_The American,James, Henry_The Portrait of a Lady - Volume 1,4,undirected
James, Henry_The Author of Beltraffio,James, Henry_A Bundle of Letters,3,undirected
James, Henry_The Author of Beltraffio,James, Henry_Four Meetings,3,undirected
James, Henry_The Author of Beltraffio,James, Henry_Louisa Pallant,3,undirected
James, Henry_The Author of Beltraffio,James, Henry_Madame De Mauves,3,undirected
James, Henry_The Author of Beltraffio,James, Henry_Nona Vincent,1,undirected
James, Henry_The Author of Beltraffio,James, Henry_The Coxon Fund,2,undirected
James, Henry_The Author of Beltraffio,James, Henry_The Figure in the Carpet,5,undirected
James, Henry_The Awkward Age,James, Henry_The Outcry,6,undirected
James, Henry_The Awkward Age,James, Henry_The Reverberator,1,undirected
James, Henry_The Awkward Age,James, Henry_The Tragic Muse,2,undirected
James, Henry_The Beast in the Jungle,James, Henry_Nona Vincent,2,undirected
James, Henry_The Beast in the Jungle,James, Henry_The Figure in the Carpet,1,undirected
James, Henry_The Beast in the Jungle,James, Henry_The Spoils of Poynton,3,undirected
James, Henry_The Bostonians, Vol. I (of II),James, Henry_The Coxon Fund,1,undirected
James, Henry_The Bostonians, Vol. I (of II),James, Henry_The Spoils of Poynton,4,undirected
James, Henry_The Bostonians, Vol. I (of II),James, Henry_The Tragic Muse,3,undirected
James, Henry_The Coxon Fund,James, Henry_Louisa Pallant,5,undirected
James, Henry_The Coxon Fund,James, Henry_The Author of Beltraffio,2,undirected
James, Henry_The Coxon Fund,James, Henry_The Bostonians, Vol. I (of II),1,undirected
James, Henry_The Coxon Fund,James, Henry_The Figure in the Carpet,6,undirected
James, Henry_The Coxon Fund,James, Henry_The Middle Years,1,undirected
James, Henry_The Coxon Fund,James, Henry_The Tragic Muse,1,undirected
James, Henry_The Figure in the Carpet,James, Henry_Louisa Pallant,1,undirected
James, Henry_The Figure in the Carpet,James, Henry_The Author of Beltraffio,5,undirected
James, Henry_The Figure in the Carpet,James, Henry_The Beast in the Jungle,1,undirected
James, Henry_The Figure in the Carpet,James, Henry_The Coxon Fund,6,undirected
James, Henry_The Figure in the Carpet,James, Henry_The Middle Years,2,undirected
James, Henry_The Figure in the Carpet,James, Henry_The Turn of the Screw,3,undirected
James, Henry_The Middle Years,James, Henry_The Coxon Fund,1,undirected
James, Henry_The Middle Years,James, Henry_The Figure in the Carpet,2,undirected
James, Henry_The Middle Years,James, Henry_Within the Rim, and Other Essays, 1914-15,6,undirected
James, Henry_The Outcry,James, Henry_The Awkward Age,6,undirected
James, Henry_The Outcry,James, Henry_The Reverberator,1,undirected
James, Henry_The Outcry,James, Henry_The Tragic Muse,2,undirected
James, Henry_The Portrait of a Lady - Volume 1,James, Henry_A Bundle of Letters,2,undirected
James, Henry_The Portrait of a Lady - Volume 1,James, Henry_The American,4,undirected
James, Henry_The Portrait of a Lady - Volume 1,James, Henry_The Reverberator,2,undirected
James, Henry_The Portrait of a Lady - Volume 1,James, Henry_The Tragic Muse,5,undirected
James, Henry_The Reverberator,James, Henry_The Awkward Age,1,undirected
James, Henry_The Reverberator,James, Henry_The Outcry,1,undirected
James, Henry_The Reverberator,James, Henry_The Portrait of a Lady - Volume 1,2,undirected
James, Henry_The Reverberator,James, Henry_The Spoils of Poynton,2,undirected
James, Henry_The Reverberator,James, Henry_The Tragic Muse,6,undirected
James, Henry_The Spoils of Poynton,James, Henry_The Beast in the Jungle,3,undirected
James, Henry_The Spoils of Poynton,James, Henry_The Bostonians, Vol. I (of II),4,undirected
James, Henry_The Spoils of Poynton,James, Henry_The Reverberator,2,undirected
James, Henry_The Spoils of Poynton,James, Henry_The Tragic Muse,4,undirected
James, Henry_The Spoils of Poynton,James, Henry_The Turn of the Screw,3,undirected
James, Henry_The Tragic Muse,James, Henry_Louisa Pallant,1,undirected
James, Henry_The Tragic Muse,James, Henry_Madame De Mauves,2,undirected
James, Henry_The Tragic Muse,James, Henry_Nona Vincent,3,undirected
James, Henry_The Tragic Muse,James, Henry_The Awkward Age,2,undirected
James, Henry_The Tragic Muse,James, Henry_The Bostonians, Vol. I (of II),3,undirected
James, Henry_The Tragic Muse,James, Henry_The Coxon Fund,1,undirected
James, Henry_The Tragic Muse,James, Henry_The Outcry,2,undirected
James, Henry_The Tragic Muse,James, Henry_The Portrait of a Lady - Volume 1,5,undirected
James, Henry_The Tragic Muse,James, Henry_The Reverberator,6,undirected
James, Henry_The Tragic Muse,James, Henry_The Spoils of Poynton,4,undirected
James, Henry_The Turn of the Screw,James, Henry_Louisa Pallant,1,undirected
James, Henry_The Turn of the Screw,James, Henry_The Figure in the Carpet,3,undirected
James, Henry_The Turn of the Screw,James, Henry_The Spoils of Poynton,3,undirected
James, Henry_Within the Rim, and Other Essays, 1914-15,Dickens, Charles_American Notes,2,undirected
James, Henry_Within the Rim, and Other Essays, 1914-15,James, Henry_The Middle Years,6,undirected
